timestamp,symbol,mark_price,index_price,mark_premium_pct,funding_rate_pct,open_interest,trend_1m,trend_5m,trend_15m,orderbook_snapshot_imbalance,context_quality,context_confirm,warnings_json
2026-07-02T20:11:04.442281+00:00,BTCUSDT,61456.9,61481.12608696,-0.03940410415667031,0.006473,107511.329,flat,down,flat,0.9210673504195377,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:06.382048+00:00,ETHUSDT,1698.82,1699.57674419,-0.0445254497972505,0.007559,2361939.147,flat,down,down,-0.02497990254110244,OK,INSUFFICIENT,[]
2026-07-02T20:11:08.271475+00:00,BNBUSDT,558.83405686,558.52662805,0.055042820621349436,0.008009,577769.96,up,down,up,0.2969333706252293,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:10.306639+00:00,SOLUSDT,80.64,80.69130241,-0.0635786119045804,-0.003782,10578521.33,up,down,down,0.06279836284677427,OK,INSUFFICIENT,[]
2026-07-02T20:11:12.333000+00:00,XRPUSDT,1.0832396,1.0838802,-0.05910247276406582,0.005185,337955312.0,flat,down,down,0.16222967156702522,OK,INSUFFICIENT,[]
2026-07-02T20:11:14.383615+00:00,DOGEUSDT,0.07417,0.07421927,-0.06638437699535987,0.005916,2286906243.0,flat,down,down,0.14868284348661484,OK,INSUFFICIENT,[]
2026-07-02T20:11:16.348260+00:00,ADAUSDT,0.1599,0.16000164,-0.06352434887543275,0.01,476674771.0,flat,flat,up,0.10071101387327805,OK,INSUFFICIENT,[]
2026-07-02T20:11:18.247136+00:00,TRXUSDT,0.3173118,0.31778,-0.14733463402354766,-0.063847,299062880.0,flat,flat,up,0.3170465657578964,OK,INSUFFICIENT,"[""elevated funding"", ""mark/index premium stretched""]"
2026-07-02T20:11:20.101013+00:00,LINKUSDT,7.734,7.73750868,-0.04534637885537564,0.00509,8758663.54,flat,flat,down,0.12360427201930324,OK,INSUFFICIENT,[]
2026-07-02T20:11:22.951682+00:00,AVAXUSDT,6.73476509,6.74007138,-0.07872750451494546,-0.00905,8350198.0,flat,down,down,0.13678196554680824,OK,INSUFFICIENT,[]
2026-07-02T20:11:24.848423+00:00,SUIUSDT,0.7362,0.73651608,-0.042915559969858616,0.007121000000000001,100707728.2,flat,flat,flat,0.0757209263782997,OK,INSUFFICIENT,[]
2026-07-02T20:11:27.736418+00:00,BCHUSDT,219.83796624,220.0859673,-0.11268372220294988,-0.000357,316542.895,down,down,flat,0.06367480954448528,OK,INSUFFICIENT,"[""mark/index premium stretched""]"
2026-07-02T20:11:29.549978+00:00,LTCUSDT,43.44,43.46058824,-0.04737220740388705,0.0050349999999999995,1105658.706,down,down,up,0.09083214372356116,OK,INSUFFICIENT,[]
2026-07-02T20:11:32.443570+00:00,HBARUSDT,0.07243,0.07247382,-0.06046321278497528,-0.0040349999999999995,331049551.0,up,up,down,-0.17480878212168552,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:34.550589+00:00,DOTUSDT,0.84324593,0.84412201,-0.10378594440393112,0.003481,31477407.8,flat,flat,flat,0.13552549567071087,OK,INSUFFICIENT,"[""mark/index premium stretched""]"
2026-07-02T20:11:36.323842+00:00,NEARUSDT,1.939,1.93987297,-0.045001400272094205,-0.000612,43086764.0,flat,flat,flat,0.07582003337721838,OK,INSUFFICIENT,[]
2026-07-02T20:11:38.236782+00:00,UNIUSDT,3.21503731,3.21618543,-0.035698190449170206,0.01,19672322.0,up,up,up,0.06371256820690589,OK,INSUFFICIENT,[]
2026-07-02T20:11:40.186725+00:00,AAVEUSDT,86.9036999,86.969892,-0.07610921259968331,0.000454,616247.8,flat,down,flat,0.13818949613326717,OK,INSUFFICIENT,[]
2026-07-02T20:11:42.299705+00:00,WLDUSDT,0.40223364,0.40209934,0.0333997066495996,0.000221,181725578.0,up,up,up,-0.07780383022601424,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:44.091267+00:00,ZECUSDT,433.34341919,433.5947565,-0.057965947750107695,-0.009399999999999999,580344.088,up,flat,up,-0.11495537565062604,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:50.017746+00:00,BTCUSDT,61440.0,61460.43695652,-0.03325221481009191,0.006473,107511.329,flat,down,flat,-0.04399847076680547,OK,INSUFFICIENT,[]
2026-07-02T20:11:50.790753+00:00,ETHUSDT,1698.70745736,1699.51046512,-0.047249356592999926,0.007559,2361939.147,flat,down,down,0.595264263649322,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:51.613323+00:00,BNBUSDT,558.73175251,558.43377874,0.05335883704462148,0.008009,577769.96,up,down,up,-0.01457710064220127,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-02T20:11:52.414969+00:00,SOLUSDT,80.62191036,80.67279056,-0.06306984008710187,-0.003782,10578521.33,up,down,down,-0.005681891065872337,OK,INSUFFICIENT,[]
2026-07-02T20:11:53.200252+00:00,XRPUSDT,1.0833697,1.08392313,-0.05105804873820497,0.005185,337955312.0,flat,down,down,0.04984875473597637,OK,INSUFFICIENT,[]
2026-07-02T20:11:53.977868+00:00,DOGEUSDT,0.07418,0.07421439,-0.046338722180441196,0.005916,2286906243.0,flat,down,down,0.11337623814275741,OK,INSUFFICIENT,[]
