signal_id,symbol,action,direction,entry_time,entry_price,entry_delta_5m,entry_imbalance,entry_aggression,entry_latest_event,entry_cvd,price_after_1m,price_after_5m,price_after_15m,max_favorable_pct,max_adverse_pct,final_return_pct,completed_time
41426f01-c2ec-41fa-ad4a-4378d26949ed,AAVEUSDT,SHORT_BIAS,SHORT,2026-07-02T10:31:42.327426+00:00,85.97,-126456.69600000003,-0.1692788237684845,0.34011190345154735,LARGE_TRADE,-134294.4,85.93,86.09,86.17,0.00093055717110618,0.002326392927765533,-0.002326392927765533,2026-07-02T10:46:42.752228+00:00
77b8d10f-0699-4e04-8e25-14f6e2e1b1d8,ZECUSDT,LONG_BIAS,LONG,2026-07-02T10:32:24.021999+00:00,425.61,3087610.2108700103,0.6156384537568428,0.6683628734841977,CONFIRMED_BULLISH_ABSORPTION,3365332.7771999915,425.55,426.53,427.02,0.005263034233218226,0.0016212025093395308,0.0033128920843024556,2026-07-02T10:47:24.624801+00:00
578a400a-2448-431e-9f9d-9a47bd52196b,DOGEUSDT,LONG_BIAS,LONG,2026-07-02T10:33:44.769919+00:00,0.07381,155848.30246999976,0.365391068407427,0.5809218944701724,BUY_AGGRESSION,1509335.3965299993,0.0739,0.07393,0.07391,0.003522557918981118,0.00013548299688383855,0.0013548299688389495,2026-07-02T10:48:44.856229+00:00
2a099444-378d-474c-bb4a-c7cf9d8d5047,SUIUSDT,LONG_BIAS,LONG,2026-07-02T10:33:48.010168+00:00,0.7387,106187.05503000016,0.20424522411027674,0.6037294175711234,BUY_AGGRESSION,78378.76559999998,0.7391,0.7389,0.7406,0.0036550697170704273,0.0002707459049681575,0.002572086097197797,2026-07-02T10:48:48.174907+00:00
895cb89e-3dc1-45c6-9f85-30bf3a9403bb,LINKUSDT,LONG_BIAS,LONG,2026-07-02T10:34:22.611194+00:00,7.652,134352.81300000008,0.20423368147915918,0.5963462477611176,BUY_AGGRESSION,126476.89734000007,7.654,7.648,7.64,0.0013068478829064017,0.0032671197072661204,-0.001568217459487775,2026-07-02T10:49:23.422029+00:00
ec5e2e01-cc1b-4bea-b45c-3a52f990bdc1,BTCUSDT,SHORT_BIAS,SHORT,2026-07-02T10:34:51.501384+00:00,61251.2,-13611272.125499964,-0.7391924730891271,0.36279643526195904,LARGE_TRADE,-20082872.586500064,61249.4,61256.6,61255.8,0.0021371009874091313,0.0012865054072410485,-7.510056945832606e-05,2026-07-02T10:49:52.056041+00:00
07921575-c447-45a1-8ca9-f59fee771573,ETHUSDT,SHORT_BIAS,SHORT,2026-07-02T10:35:28.735610+00:00,1647.04,-5601739.669169955,-0.6872040062627527,0.41906278588375334,BEARISH_DIVERGENCE,-11300113.986850023,1646.19,1646.29,1645.12,0.0028778900330289543,0.0010928696327957759,0.0011657276083155677,2026-07-02T10:50:29.408092+00:00
18a501da-886f-44f3-819a-010f894cd35c,SOLUSDT,LONG_BIAS,LONG,2026-07-02T10:35:33.048393+00:00,80.7,4858146.569900008,0.46495004388110556,0.582302412586243,LARGE_TRADE,15622453.588899957,80.61,80.74,81.32,0.00929368029739777,0.002106567534076849,0.00768277571251537,2026-07-02T10:50:33.756100+00:00
c2e40eda-4ad1-4644-a8e9-cbd6bcd36419,ADAUSDT,LONG_BIAS,LONG,2026-07-02T10:36:27.415552+00:00,0.1591,272864.05650000006,0.21763693826836134,0.5897127002639164,BUY_AGGRESSION,603038.6738000021,0.159,0.1589,0.1586,0.0006285355122565478,0.005656819610307883,-0.0031426775612822156,2026-07-02T10:51:28.406026+00:00
c183c45f-8655-4393-8e79-51b3d53d0698,BNBUSDT,LONG_BIAS,LONG,2026-07-02T10:37:30.461164+00:00,556.83,128283.84879999975,0.5776587112486582,0.5856101538205046,BUY_AGGRESSION,58662.49070000013,556.6,556.83,556.38,0.0004848876676902857,0.002011385880789477,-0.000808146112817279,2026-07-02T10:52:30.595193+00:00
